U+1F46F U+200D U+2640 U+FE0F,partying,women,dancer,ear,bunny,ears,,,,,,
U+1F9D8 U+1F3FC U+200D U+2642 U+FE0F,tone,lotus,medium-light,skin,position,meditation,yoga,man,person,,,
U+1F9D8 U+1F3FD U+200D U+2642 U+FE0F,medium,tone,lotus,skin,position,meditation,yoga,man,person,,,
U+1F9D8 U+1F3FE U+200D U+2642 U+FE0F,tone,lotus,medium-dark,skin,position,meditation,yoga,man,person,,,
U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F,tone,lotus,dark,skin,position,meditation,yoga,man,person,,,
U+1F6C0,person,taking,bathtub,bath,,,,,,,,
U+1F6CC,person,hotel,sleep,bed,,,,,,,,
U+1F93A,person,fencer,sword,fencing,,,,,,,,
U+1F3C7,racehorse,horse,jockey,racing,,,,,,,,
U+26F7,ski,snow,skier,,,,,,,,,
U+1F3C2,snowboard,ski,snowboarder,snow,,,,,,,,
U+1F3CC,person,ball,golf,golfing,,,,,,,,
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,golfing,golf,man,person,,,,,,,,
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,woman,golf,golfing,person,,,,,,,,
U+1F3C4 U+200D U+2642 U+FE0F,surfing,man,person,,,,,,,,,
U+1F3C4 U+200D U+2640 U+FE0F,woman,surfing,person,,,,,,,,,
U+1F6A3,person,rowing,boat,rowboat,,,,,,,,
U+1F6A3 U+200D U+2642 U+FE0F,rowboat,rowing,boat,man,person,,,,,,,
U+1F6A3 U+200D U+2640 U+FE0F,rowboat,rowing,woman,boat,person,,,,,,,
U+1F3CA U+200D U+2642 U+FE0F,swim,swimming,man,person,,,,,,,,
U+1F3CA U+200D U+2640 U+FE0F,swim,woman,swimming,person,,,,,,,,
U+26F9,person,ball,bouncing,,,,,,,,,
U+26F9 U+FE0F U+200D U+2642 U+FE0F,bouncing,ball,man,person,,,,,,,,
U+26F9 U+FE0F U+200D U+2640 U+FE0F,bouncing,woman,ball,person,,,,,,,,
U+1F3CB,person,lifter,weights,weight,lifting,,,,,,,
U+1F3CB U+FE0F U+200D U+2642 U+FE0F,lifter,weights,weight,lifting,man,person,,,,,,
U+1F3CB U+FE0F U+200D U+2640 U+FE0F,lifter,woman,weights,weight,lifting,person,,,,,,
U+1F6B4,cyclist,person,bicycle,biking,,,,,,,,
U+1F6B4 U+200D U+2642 U+FE0F,cyclist,bicycle,biking,man,person,,,,,,,
U+1F6B4 U+200D U+2640 U+FE0F,cyclist,bicycle,woman,biking,person,,,,,,,
U+1F6B5,cyclist,mountain,bicycle,bicyclist,person,bike,biking,,,,,
U+1F3CE,car,racing,,,,,,,,,,
U+1F3CD,racing,motorcycle,,,,,,,,,,
U+1F46B,woman,couple,hand,holding,hands,hold,man,person,,,,
U+1F46C,couple,men,two,hand,Gemini,twins,holding,hands,zodiac,hold,man,person
U+1F46D,woman,couple,two,hand,holding,hands,hold,women,person,,,
U+1F48F,couple,kiss,,,,,,,,,,
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,couple,woman,kiss,man,person,,,,,,,
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,couple,kiss,man,person,,,,,,,,
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,couple,woman,kiss,person,,,,,,,,
U+1F491,heart,couple,love,,,,,,,,,
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,heart,couple,woman,love,man,person,,,,,,
U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,heart,couple,love,man,person,,,,,,,
U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,heart,couple,woman,love,person,,,,,,,
U+1F46A,family,,,,,,,,,,,
U+1F468 U+200D U+1F469 U+200D U+1F466,boy,woman,family,man,person,,,,,,,
U+1F468 U+200D U+1F469 U+200D U+1F467,girl,woman,family,man,person,,,,,,,
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,boy,girl,woman,family,man,person,,,,,,
U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,boy,woman,family,man,person,,,,,,,
U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,girl,woman,family,man,person,,,,,,,
U+1F468 U+200D U+1F468 U+200D U+1F466,boy,family,man,person,,,,,,,,
U+1F468 U+200D U+1F468 U+200D U+1F467,girl,family,man,person,,,,,,,,
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,boy,girl,family,man,person,,,,,,,
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,boy,family,man,person,,,,,,,,
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,girl,family,man,person,,,,,,,,
U+1F469 U+200D U+1F469 U+200D U+1F466,boy,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F469 U+200D U+1F467,girl,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,boy,girl,woman,family,person,,,,,,,
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,boy,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,girl,woman,family,person,,,,,,,,
U+1F468 U+200D U+1F466,boy,family,man,person,,,,,,,,
U+1F468 U+200D U+1F466 U+200D U+1F466,boy,family,man,person,,,,,,,,
U+1F468 U+200D U+1F467,girl,family,man,person,,,,,,,,
U+1F468 U+200D U+1F467 U+200D U+1F466,boy,girl,family,man,person,,,,,,,
